path,status,source,notes
/,pending,live-site,Homepage discovered from public navigation
/about/,pending,live-site,Navigation route
/services/,pending,live-site,Navigation route
/bespoke-office-interior-design/,pending,live-site,Homepage service CTA
/eco-friendly-workspace-design/,pending,live-site,Homepage service CTA
/flexible-modular-office-design/,pending,live-site,Homepage service CTA
/modern-office-renovation/,pending,live-site,Homepage service CTA
/clients/,pending,live-site,Navigation route
/collections/,pending,live-site,Navigation route
/contact/,pending,live-site,Navigation route
/privacy-policy/,pending,live-site,Footer route
/terms/,pending,live-site,Footer route
